,Scarlet & Violet,Pineco,001/198,Normal,Common,3,25,
,Scarlet & Violet,Pineco,001/198,Reverse Holo,Common,1,50,
,Scarlet & Violet,Heracross,002/198,Normal,Uncommon,4,25,
,Scarlet & Violet,Shroomish,003/198,Normal,Common,3,25,
,Scarlet & Violet,Breloom,004/198,Normal,Uncommon,1,25,
,Scarlet & Violet,Cacnea,005/198,Normal,Common,1,25,
,Scarlet & Violet,Cacturne,006/198,Normal,Uncommon,5,25,
,Scarlet & Violet,Tropius,007/198,Normal,Common,1,25,
,Scarlet & Violet,Tropius,007/198,Reverse Holo,Common,1,50,
,Scarlet & Violet,Scatterbug,008/198,Normal,Common,3,25,
,Scarlet & Violet,Spewpa,009/198,Normal,Common,5,25,
,Scarlet & Violet,Spewpa,009/198,Reverse Holo,Common,1,50,
,Scarlet & Violet,Vivillon,010/198,Normal,Uncommon,5,25,
,Scarlet & Violet,Gogoat,012/198,Normal,Common,2,25,
,Scarlet & Violet,Gogoat,012/198,Reverse Holo,Common,2,50,
,Scarlet & Violet,Floragato,014/198,Normal,Uncommon,2,30,
,Scarlet & Violet,Meowscarada,015/198,Normal Holo,Rare,3,40,
,Scarlet & Violet,Tarountula,017/198,Normal,Common,1,25,
,Scarlet & Violet,Tarountula,018/198,Reverse Holo,Common,1,25,
,Scarlet & Violet,Spidops ex,019/198,Normal Holo,Double Rare,1,,Добавлена карта
,Scarlet & Violet,Smoliv,020/198,Normal,Common,2,25,
,Scarlet & Violet,Smoliv,021/198,Normal,Common,2,25,
,Scarlet & Violet,Smoliv,021/198,Reverse Holo,Common,1,50,
,Scarlet & Violet,Dolliv,022/198,Reverse Holo,Common,3,50,
,Scarlet & Violet,Dolliv,022/198,Normal,Common,1,25,
,Scarlet & Violet,Arboliva,023/198,Normal Holo,Rare,3,40,
,Scarlet & Violet,Arboliva,023/198,Reverse Holo,Rare,1,60,
,Scarlet & Violet,Toedscool,025/198,Normal,Common,1,25,
,Scarlet & Violet,Toedscruel,026/198,Normal,Uncommon,5,25,
,Scarlet & Violet,Capsakid,027/198,Normal,Common,2,25,
,Scarlet & Violet,Scovillain,029/198,Normal,Uncommon,2,25,
,Scarlet & Violet,Growlithe,031/198,Normal,Common,3,30,
,Scarlet & Violet,Houndoom,034/198,Reverse Holo,Common,1,50,
,Scarlet & Violet,Torkoal,035/198,Normal,Uncommon,2,25,
,Scarlet & Violet,Fuecoco,036/198,Normal,Common,5,25,
,Scarlet & Violet,Crocalor,037/198,Normal,Uncommon,4,25,
,Scarlet & Violet,Skeledirge,038/198,Normal Holo,Rare,2,40,
,Scarlet & Violet,Charcadet,039/198,Normal,Common,1,25,
,Scarlet & Violet,Charcadet,040/198,Normal,Common,4,25,
,Scarlet & Violet,Charcadet,040/198,Reverse Holo,Common,1,50,
,Scarlet & Violet,Armarouge,041/198,Normal Holo,Rare,2,40,
,Scarlet & Violet,Armarouge,041/198,Reverse Holo,Rare,1,60,
,Scarlet & Violet,Slowbro,043/198,Normal Holo,Rare,1,40,
,Scarlet & Violet,Magikarp,044/198,Normal,Common,4,30,
,Scarlet & Violet,Magikarp,044/198,Reverse Holo,Common,1,60,
,Scarlet & Violet,Buizel,046/198,Normal,Common,1,25,
,Scarlet & Violet,Floatzel,047/198,Normal,Uncommon,3,25,
,Scarlet & Violet,Alomomola,048/198,Reverse Holo,Common,1,50,
,Scarlet & Violet,Clauncher,049/198,Normal,Common,1,25,
,Scarlet & Violet,Clauncher,049/198,Reverse Holo,Common,2,50,
,Scarlet & Violet,Clawitzer,050/198,Normal,Common,1,25,
,Scarlet & Violet,Bruxish,051/198,Normal,Common,5,25,
,Scarlet & Violet,Quaxly,052/198,Normal,Common,8,25,
,Scarlet & Violet,Quaxwell,053/198,Normal,Uncommon,6,25,
,Scarlet & Violet,Quaquaval,054/198,Normal Holo,Rare,5,40,
,Scarlet & Violet,Wiglett,056/198,Normal,Common,1,25,
,Scarlet & Violet,Cetoddle,059/198,Normal,Common,1,25,
,Scarlet & Violet,Cetitan,060/198,Normal,Uncommon,4,25,
,Scarlet & Violet,Cetitan,060/198,Reverse Holo,Uncommon,1,50,
,Scarlet & Violet,Dondozo,061/198,Normal Holo,Rare,1,40,
,Scarlet & Violet,Dondozo,061/198,Non-holo,Rare,1,25,
,Scarlet & Violet,Tatsugiri,062/198,Normal,Uncommon,6,40,
,Scarlet & Violet,Tatsugiri,062/198,Reverse Holo,Uncommon,1,50,
,Scarlet & Violet,Magnemite,063/198,Normal,Common,3,25,
,Scarlet & Violet,Magneton,064/198,Reverse Holo,Common,1,25,
,Scarlet & Violet,Magneton,064/198,Normal,Common,1,50,
,Scarlet & Violet,Magnezone ex,065/198,Normal Holo,Double Rare,3,,Добавлена карта
,Scarlet & Violet,Mareep,066/198,Normal,Common,3,25,
,Scarlet & Violet,Mareep,066/198,Reverse Holo,Common,2,50,
,Scarlet & Violet,Flaaffy,067/198,Normal,Uncommon,4,25,
,Scarlet & Violet,Pachirisu,068/198,Normal,Uncommon,4,25,
,Scarlet & Violet,Rotom,069/198,Normal,Common,3,30,
,Scarlet & Violet,Toxel,071/198,Reverse Holo,Common,2,50,
,Scarlet & Violet,Toxtricity,072/198,Normal,Uncommon,3,25,
,Scarlet & Violet,Pawmi,073/198,Normal,Common,1,25,
,Scarlet & Violet,Pawmi,074/198,Normal,Common,7,25,
,Scarlet & Violet,Pawmo,075/198,Normal,Common,2,25,
,Scarlet & Violet,Pawmot,076/198,Normal Holo,Rare,3,40,
,Scarlet & Violet,Pawmot,076/198,Non-holo,Rare,1,25,
,Scarlet & Violet,Wattrel,077/198,Reverse Holo,Common,1,50,
,Scarlet & Violet,Kilowattrel,079/198,Normal,Uncommon,5,25,
,Scarlet & Violet,Kilowattrel,079/198,Reverse Holo,Uncommon,1,50,
,Scarlet & Violet,Miraidon,080/198,Normal Holo,Rare,1,40,
,Scarlet & Violet,Drowzee,082/198,Normal,Common,1,25,
,Scarlet & Violet,Hypno,083/198,Normal,Uncommon,5,25,
,Scarlet & Violet,Ralts,084/198,Normal,Common,1,30,
,Scarlet & Violet,Kirlia,085/198,Normal,Common,1,30,
,Scarlet & Violet,Kirlia,085/198,Reverse Holo,Common,2,60,
,Scarlet & Violet,Gardevoir ex,086/198,Normal Holo,Double Rare,1,,Добавлена карта
,Scarlet & Violet,Shuppet,087/198,Normal,Common,1,25,
,Scarlet & Violet,Shuppet,087/198,Reverse Holo,Common,1,50,
,Scarlet & Violet,Drifloon,089/198,Normal,Common,1,25,
,Scarlet & Violet,Drifblim,090/198,Normal,Uncommon,4,25,
,Scarlet & Violet,Drifblim,090/198,Reverse Holo,Uncommon,1,50,
,Scarlet & Violet,Flabébé,091/198,Normal,Common,3,25,
,Scarlet & Violet,Floette,092/198,Normal,Common,5,25,
,Scarlet & Violet,Florges,093/198,Normal,Uncommon,5,25,
,Scarlet & Violet,Dedenne,094/198,Normal,Common,4,25,
