"TCG region",Expansion,"Card number","Card number sorting order","Card name",Rarity,"Card variant","Card language","Card condition",Note,Quantity
International,"Journey Together",001/159,1,Caterpie,Common,Normal,English,Unspecified,,5
International,"Journey Together",001/159,1,Caterpie,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",002/159,2,Metapod,Common,Normal,English,Unspecified,,2
International,"Journey Together",003/159,3,Butterfree,Rare,"Normal Holo",English,Unspecified,,4
International,"Journey Together",003/159,3,Butterfree,Rare,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",005/159,5,Parasect,Common,Normal,English,Unspecified,,3
International,"Journey Together",006/159,6,Petilil,Common,Normal,English,Unspecified,,6
International,"Journey Together",008/159,8,Maractus,Uncommon,Normal,English,Unspecified,,7
International,"Journey Together",009/159,9,Karrablast,Common,Normal,English,Unspecified,,1
International,"Journey Together",009/159,9,Karrablast,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",010/159,10,Foongus,Common,Normal,English,Unspecified,,4
International,"Journey Together",010/159,10,Foongus,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",011/159,11,"Amoonguss ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",012/159,12,Shelmet,Common,Normal,English,Unspecified,,3
International,"Journey Together",013/159,13,Accelgor,Uncommon,Normal,English,Unspecified,,4
International,"Journey Together",014/159,14,Durant,Common,Normal,English,Unspecified,,3
International,"Journey Together",014/159,14,Durant,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",015/159,15,Virizion,Uncommon,Normal,English,Unspecified,,3
International,"Journey Together",015/159,15,Virizion,Uncommon,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",016/159,16,Sprigatito,Common,Normal,English,Unspecified,,6
International,"Journey Together",016/159,16,Sprigatito,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",017/159,17,Floragato,Common,Normal,English,Unspecified,,2
International,"Journey Together",017/159,17,Floragato,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",018/159,18,Meowscarada,Rare,"Normal Holo",English,Unspecified,,3
International,"Journey Together",019/159,19,Nymble,Common,Normal,English,Unspecified,,3
International,"Journey Together",019/159,19,Nymble,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",020/159,20,Magmar,Common,Normal,English,Unspecified,,3
International,"Journey Together",020/159,20,Magmar,Common,"Reverse Holo",English,Unspecified,,4
International,"Journey Together",021/159,21,Magmortar,Rare,"Normal Holo",English,Unspecified,,5
International,"Journey Together",021/159,21,Magmortar,Rare,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",022/159,22,Torchic,Common,Normal,English,Unspecified,,1
International,"Journey Together",023/159,23,Combusken,Uncommon,Normal,English,Unspecified,,5
International,"Journey Together",023/159,23,Combusken,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",024/159,24,"Blaziken ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",025/159,25,Torkoal,Common,Normal,English,Unspecified,,2
International,"Journey Together",026/159,26,"N's Darumaka",Common,Normal,English,Unspecified,,3
International,"Journey Together",026/159,26,"N's Darumaka",Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",027/159,27,"N's Darmanitan",Uncommon,Normal,English,Unspecified,,6
International,"Journey Together",027/159,27,"N's Darmanitan",Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",028/159,28,Larvesta,Common,Normal,English,Unspecified,,2
International,"Journey Together",028/159,28,Larvesta,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",029/159,29,Volcarona,Uncommon,Normal,English,Unspecified,,3
International,"Journey Together",029/159,29,Volcarona,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",032/159,32,Articuno,Uncommon,Normal,English,Unspecified,,2
International,"Journey Together",032/159,32,Articuno,Uncommon,"Reverse Holo",English,Unspecified,,2
